gene	family	frequency									
NDUFA6	LYR motif containing	1									
KDM3A	Lysine demethylases	2									
KDM4A	Lysine demethylases	2									
SMYD3	Lysine methyltransferases	2									
SETD2	Lysine methyltransferases	2									
MROH1	Maestro heat like repeat containing 	1									
MAN1A1	Mannosidases alpha class 1	1									
MAN2A2	Mannosidases alpha class 2	3									
MAN2C1	Mannosidases alpha class 2	3									
MAN2B2	Mannosidases alpha class 2	3									
MGAT1	Mannosyl-glycoprotein N-acetylglucosaminyltransferases	2									
MGAT2	Mannosyl-glycoprotein N-acetylglucosaminyltransferases	2									
MCM7	MCM family	5									
MCM5	MCM family	5									
MCM3	MCM family	5									
MCM4	MCM family	5									
MCM6	MCM family	5									
MED15	Mediator complex	5									
MED12	Mediator complex	5									
MED19	Mediator complex	5									
MED24	Mediator complex	5									
MED20	Mediator complex	5									
MPP6	Membrane associated guanylate kinases	2									
MPP1	Membrane associated guanylate kinases	2									
PGRMC1	Membrane associated progesterone receptor family	2									
PGRMC2	Membrane associated progesterone receptor family	2									
MBOAT7	Membrane bound O-acyltransferases	1									
MBD3	Methyl-CpG binding domain containing	1									
METTL1	Methyltransferase like	2									
METTL16	Methyltransferase like	2									
MIA2	MIA family	1									
HEATR1	Minor histocompatibility antigens	3									
MYO1G	Minor histocompatibility antigens	3									
TOR3A	Minor histocompatibility antigens	3									
SDHB	Mitochondrial complex II: succinate dehydrogenase subunits	1									
UQCRC2	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
UQCRB	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
UQCR10	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
UQCRC1	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
UQCRFS1	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
UQCRH	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	6									
COX6C	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
MT-CO2	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
COX6B1	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
COX5B	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
COX6A1	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
COX4I1	Mitochondrial complex IV: cytochrome c oxidase subunits	6									
ATPIF1	Mitochondrial complex V: ATP synthase subunits	1									
TIMMDC1	Mitochondrial respiratory chain complex assembly factors	8									
NUBPL	Mitochondrial respiratory chain complex assembly factors	8									
NDUFAF7	Mitochondrial respiratory chain complex assembly factors	8									
NDUFAF4	Mitochondrial respiratory chain complex assembly factors	8									
NDUFAF2	Mitochondrial respiratory chain complex assembly factors	8									
NDUFAF1	Mitochondrial respiratory chain complex assembly factors	8									
NDUFAF3	Mitochondrial respiratory chain complex assembly factors	8									
COA3	Mitochondrial respiratory chain complex assembly factors	8									
MRPL13	Mitochondrial ribosomal proteins	39									
MRPL28	Mitochondrial ribosomal proteins	39									
MRPS15	Mitochondrial ribosomal proteins	39									
MRPL14	Mitochondrial ribosomal proteins	39									
MRPL17	Mitochondrial ribosomal proteins	39									
MRPS26	Mitochondrial ribosomal proteins	39									
MRPS28	Mitochondrial ribosomal proteins	39									
MRPL33	Mitochondrial ribosomal proteins	39									
MRPS22	Mitochondrial ribosomal proteins	39									
MRPL38	Mitochondrial ribosomal proteins	39									
MRPS34	Mitochondrial ribosomal proteins	39									
MRPS35	Mitochondrial ribosomal proteins	39									
MRPS5	Mitochondrial ribosomal proteins	39									
MRPL43	Mitochondrial ribosomal proteins	39									
MRPS2	Mitochondrial ribosomal proteins	39									
MRPS17	Mitochondrial ribosomal proteins	39									
MRPL40	Mitochondrial ribosomal proteins	39									
MRPL37	Mitochondrial ribosomal proteins	39									
MRPL24	Mitochondrial ribosomal proteins	39									
MRPL27	Mitochondrial ribosomal proteins	39									
MRPL12	Mitochondrial ribosomal proteins	39									
MRPL22	Mitochondrial ribosomal proteins	39									
MRPL19	Mitochondrial ribosomal proteins	39									
MRPL41	Mitochondrial ribosomal proteins	39									
MRPL1	Mitochondrial ribosomal proteins	39									
MRPL23	Mitochondrial ribosomal proteins	39									
MRPL11	Mitochondrial ribosomal proteins	39									
MRPS23	Mitochondrial ribosomal proteins	39									
MRPL32	Mitochondrial ribosomal proteins	39									
DAP3	Mitochondrial ribosomal proteins	39									
MRPL45	Mitochondrial ribosomal proteins	39									
MRPL48	Mitochondrial ribosomal proteins	39									
MRPL4	Mitochondrial ribosomal proteins	39									
LACTB	Mitochondrial ribosomal proteins	39									
MRPS6	Mitochondrial ribosomal proteins	39									
MRPS31	Mitochondrial ribosomal proteins	39									
MRPL53	Mitochondrial ribosomal proteins	39									
MRPL50	Mitochondrial ribosomal proteins	39									
MRPL3	Mitochondrial ribosomal proteins	39									
MAP4K1	Mitogen-activated protein kinase kinase kinase kinases	1									
MAP3K7	Mitogen-activated protein kinase kinase kinases	2									
TAOK3	Mitogen-activated protein kinase kinase kinases	2									
MAP2K1	Mitogen-activated protein kinase kinases	4									
MAP2K3	Mitogen-activated protein kinase kinases	4									
MAP2K4	Mitogen-activated protein kinase kinases	4									
MAP2K7	Mitogen-activated protein kinase kinases	4									
MAPKAPK3	Mitogen-activated protein kinase-activated protein kinases	3									
RPS6KA5	Mitogen-activated protein kinase-activated protein kinases	3									
RPS6KA1	Mitogen-activated protein kinase-activated protein kinases	3									
MAPK12	Mitogen-activated protein kinases	1									
MOB1B	MOB kinase activators	3									
MOB2	MOB kinase activators	3									
MOB4	MOB kinase activators	3									
M6PR	MRH domain containing 	3									
OS9	MRH domain containing 	3									
ERLEC1	MRH domain containing 	3									
RPTOR	MTOR complex 1	1									
MAPKAP1	MTOR complex 2	2									
RICTOR	MTOR complex 2	2									
MUC13	Mucins	1									
MSH3	MutS homologs	2									
MSH6	MutS homologs	2									
NCOR1	Myb/SANT domain containing	6									
RCOR1	Myb/SANT domain containing	6									
SMARCA5	Myb/SANT domain containing	6									
CDC5L	Myb/SANT domain containing	6									
SMARCC1	Myb/SANT domain containing	6									
MYB	Myb/SANT domain containing	6									
MYO5A	Myosins, class V	1									
MYO18B	Myosins, class XVIII	2									
MYO18A	Myosins, class XVIII	2									
MTMR14	Myotubularins	5									
MTMR6	Myotubularins	5									
MTM1	Myotubularins	5									
MTMR9	Myotubularins	5									
MTMR3	Myotubularins	5									
SH3BP1	N-BAR domain containing	3									
SH3GL1	N-BAR domain containing	3									
ARHGAP17	N-BAR domain containing	3									
NAA15	N(alpha)-acetyltransferase subunits	2									
NAA25	N(alpha)-acetyltransferase subunits	2									
NDUFS7	NADH:ubiquinone oxidoreductase core subunits	3									
NDUFV1	NADH:ubiquinone oxidoreductase core subunits	3									
NDUFS1	NADH:ubiquinone oxidoreductase core subunits	3									
NDUFA3	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFA11	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFS4	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFV3	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFA7	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFS5	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFA8	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFA12	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFA5	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFC2	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFAB1	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFS6	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFB4	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
NDUFB5	NADH:ubiquinone oxidoreductase supernumerary subunits	14									
RELA	NF-kappa B complex subunits	1									
NME4	NME/NM23 family	1									
TUT1	Non-canonical poly(A) polymerases	1									
NSUN2	NOP2/Sun RNA methyltransferase family	1									
RBM7	Nuclear exosome targeting complex	2									
ZCCHC8	Nuclear exosome targeting complex	2									
NFATC2	Nuclear factors of activated T-cells 	2									
NFATC3	Nuclear factors of activated T-cells 	2									
NR3C1	Nuclear hormone receptors	1									
NUP54	Nucleoporins	16									
NUP188	Nucleoporins	16									
NUP107	Nucleoporins	16									
NUP37	Nucleoporins	16									
NDC1	Nucleoporins	16									
RAE1	Nucleoporins	16									
AAAS	Nucleoporins	16									
NUP214	Nucleoporins	16									
NUP62	Nucleoporins	16									
NUP93	Nucleoporins	16									
TPR	Nucleoporins	16									
SEH1L	Nucleoporins	16									
NUP50	Nucleoporins	16									
NUP155	Nucleoporins	16									
NUP210	Nucleoporins	16									
NUP205	Nucleoporins	16									
MNAT1	Nucleotide excision repair	4									
RPA1	Nucleotide excision repair	4									
RPA2	Nucleotide excision repair	4									
DDB1	Nucleotide excision repair	4									
NUDCD1	NudC family	1									
NUDT8	Nudix hydrolase family	5									
NUDT16	Nudix hydrolase family	5									
NUDT21	Nudix hydrolase family	5									
NUDT5	Nudix hydrolase family	5									
NUDT3	Nudix hydrolase family	5									
CHD4	NuRD complex	1									
MAGT1	Oligosaccharyltransferase complex subunits	7									
STT3A	Oligosaccharyltransferase complex subunits	7									
RPN2	Oligosaccharyltransferase complex subunits	7									
RPN1	Oligosaccharyltransferase complex subunits	7									
DDOST	Oligosaccharyltransferase complex subunits	7									
STT3B	Oligosaccharyltransferase complex subunits	7									
MLEC	Oligosaccharyltransferase complex subunits	7									
ORAI1	ORAI calcium release-activated calcium modulators	2									
ORAI2	ORAI calcium release-activated calcium modulators	2									
OTUD4	OTU domain containing	4									
OTUD7B	OTU domain containing	4									
OTULIN	OTU domain containing	4									
OTUB1	OTU domain containing	4									
OSBPL11	Oxysterol binding proteins	1									
RTF1	Paf1/RNA polymerase II complex 	5									
LEO1	Paf1/RNA polymerase II complex 	5									
CTR9	Paf1/RNA polymerase II complex 	5									
PAF1	Paf1/RNA polymerase II complex 	5									
WDR61	Paf1/RNA polymerase II complex 	5									
PON2	Paraoxonases	2									
PON3	Paraoxonases	2									
EIF4G1	Parkinson disease associated genes	3									
PARK7	Parkinson disease associated genes	3									
HTRA2	Parkinson disease associated genes	3									
PIN1	Parvulins	2									
PIN4	Parvulins	2									
PNPLA7	Patatin like phospholipase domain containing	1									
SIPA1L3	PDZ domain containing	11									
SIPA1L1	PDZ domain containing	11									
TIAM1	PDZ domain containing	11									
SNX27	PDZ domain containing	11									
SLC9A3R1	PDZ domain containing	11									
PDZD8	PDZ domain containing	11									
PSMD9	PDZ domain containing	11									
DEPTOR	PDZ domain containing	11									
PDZD11	PDZ domain containing	11									
AHNAK	PDZ domain containing	11									
PREX1	PDZ domain containing	11									
PADI2	Peptidyl arginine deiminases	1									
PLIN2	Perilipins	2									
PLIN3	Perilipins	2									
PEX14	Peroxins	3									
PEX16	Peroxins	3									
PEX5	Peroxins	3									
PRDX2	Peroxiredoxins	5									
PRDX6	Peroxiredoxins	5									
PRDX3	Peroxiredoxins	5									
PRDX1	Peroxiredoxins	5									
PRDX5	Peroxiredoxins	5									
PHF3	PHD finger proteins	8									
UHRF2	PHD finger proteins	8									
SP100	PHD finger proteins	8									
PHF6	PHD finger proteins	8									
PHF5A	PHD finger proteins	8									
DPF2	PHD finger proteins	8									
SHPRH	PHD finger proteins	8									
ASH2L	PHD finger proteins	8									
PIK3C3	Phosphatidylinositol 3-kinase subunits	2									
PIK3CD	Phosphatidylinositol 3-kinase subunits	2									
PIGN	Phosphatidylinositol glycan anchor biosynthesis	4									
PIGT	Phosphatidylinositol glycan anchor biosynthesis	4									
PIGK	Phosphatidylinositol glycan anchor biosynthesis	4									
PIGS	Phosphatidylinositol glycan anchor biosynthesis	4									
PITPNA	Phosphatidylinositol transfer proteins	1									
PDE3B	Phosphodiesterases	1									
IMPA2	Phosphoinositide phosphatases	8									
SACM1L	Phosphoinositide phosphatases	8									
IMPA1	Phosphoinositide phosphatases	8									
SYNJ1	Phosphoinositide phosphatases	8									
INPP5D	Phosphoinositide phosphatases	8									
INPP5B	Phosphoinositide phosphatases	8									
TMEM55A	Phosphoinositide phosphatases	8									
BPNT1	Phosphoinositide phosphatases	8									
PLA2G15	Phospholipases	1									
PLEC	Plakins	1									
PLEKHM2	Pleckstrin homology domain containing	17									
FGD1	Pleckstrin homology domain containing	17									
PLEKHO2	Pleckstrin homology domain containing	17									
APBB1IP	Pleckstrin homology domain containing	17									
SKAP2	Pleckstrin homology domain containing	17									
PLEKHA5	Pleckstrin homology domain containing	17									
DAPP1	Pleckstrin homology domain containing	17									
ANLN	Pleckstrin homology domain containing	17									
PLEK	Pleckstrin homology domain containing	17									
GRB7	Pleckstrin homology domain containing	17									
DOCK11	Pleckstrin homology domain containing	17									
DNM2	Pleckstrin homology domain containing	17									
PLEKHA2	Pleckstrin homology domain containing	17									
FGD3	Pleckstrin homology domain containing	17									
ARHGEF6	Pleckstrin homology domain containing	17									
SOS1	Pleckstrin homology domain containing	17									
ARHGEF2	Pleckstrin homology domain containing	17									
PARP14	Poly(ADP-ribose) polymerases	6									
PARP9	Poly(ADP-ribose) polymerases	6									
PARP1	Poly(ADP-ribose) polymerases	6									
PARP3	Poly(ADP-ribose) polymerases	6									
ZC3HAV1	Poly(ADP-ribose) polymerases	6									
PARP10	Poly(ADP-ribose) polymerases	6									
SUZ12	Polycomb repressive complex 2	1									
GALNT1	Polypeptide N-acetylgalactosaminyltransferases	2									
GALNT7	Polypeptide N-acetylgalactosaminyltransferases	2									
PRDM16	PR/SET domain family	1									
OTX1	PRD class homeoboxes and pseudogenes	1									
PFDN6	Prefoldin subunits	6									
PFDN2	Prefoldin subunits	6									
PFDN5	Prefoldin subunits	6									
PFDN4	Prefoldin subunits	6									
UXT	Prefoldin subunits	6									
VBP1	Prefoldin subunits	6									
FURIN	Proprotein convertase subtilisin/kexin family	1									
PSME2	Proteasome	17									
PSMD7	Proteasome	17									
PSMA7	Proteasome	17									
PSMB1	Proteasome	17									
PSMB3	Proteasome	17									
PSMD2	Proteasome	17									
PSMB4	Proteasome	17									
PSMB2	Proteasome	17									
PSMA6	Proteasome	17									
PSMB8	Proteasome	17									
PSMB9	Proteasome	17									
PSMA2	Proteasome	17									
PSMB7	Proteasome	17									
PSMD8	Proteasome	17									
PSMB6	Proteasome	17									
PSMB5	Proteasome	17									
PSMD4	Proteasome	17									
PRMT9	Protein arginine methyltransferases	4									
PRMT5	Protein arginine methyltransferases	4									
PRMT3	Protein arginine methyltransferases	4									
CARM1	Protein arginine methyltransferases	4									
TXNDC5	Protein disulfide isomerases	7									
ERP44	Protein disulfide isomerases	7									
PDIA6	Protein disulfide isomerases	7									
PDIA4	Protein disulfide isomerases	7									
TXNDC12	Protein disulfide isomerases	7									
TMX3	Protein disulfide isomerases	7									
PDIA3	Protein disulfide isomerases	7									
MKI67	Protein phosphatase 1 regulatory subunits	10									
TRA2B	Protein phosphatase 1 regulatory subunits	10									
ELL	Protein phosphatase 1 regulatory subunits	10									
PCIF1	Protein phosphatase 1 regulatory subunits	10									
NOC2L	Protein phosphatase 1 regulatory subunits	10									
PPP1R10	Protein phosphatase 1 regulatory subunits	10									
MAP1B	Protein phosphatase 1 regulatory subunits	10									
NONO	Protein phosphatase 1 regulatory subunits	10									
RRP1B	Protein phosphatase 1 regulatory subunits	10									
HYDIN	Protein phosphatase 1 regulatory subunits	10									
TIPRL	Protein phosphatase 2 modulatory subunits	2									
IGBP1	Protein phosphatase 2 modulatory subunits	2									
PPP2R5E	Protein phosphatase 2 regulatory subunits	4									
PPP2R2A	Protein phosphatase 2 regulatory subunits	4									
PPP2R5A	Protein phosphatase 2 regulatory subunits	4									
PPP2R5C	Protein phosphatase 2 regulatory subunits	4									
PPP2R1A	Protein phosphatase 2 scaffold subunits	1									
PPP4R2	Protein phosphatase 4 regulatory subunits	1									
PPP1CA	Protein phosphatase catalytic subunits	3									
PPP5C	Protein phosphatase catalytic subunits	3									
PPP2CA	Protein phosphatase catalytic subunits	3									
UBASH3B	Protein phosphatases	2									
PHPT1	Protein phosphatases	2									
ILKAP	Protein phosphatases, Mg2+/Mn2+ dependent	1									
PTPN18	Protein tyrosine phosphatases, non-receptor type	6									
PTPN23	Protein tyrosine phosphatases, non-receptor type	6									
PTPN1	Protein tyrosine phosphatases, non-receptor type	6									
PTPN7	Protein tyrosine phosphatases, non-receptor type	6									
PTPN11	Protein tyrosine phosphatases, non-receptor type	6									
PTPN12	Protein tyrosine phosphatases, non-receptor type	6									
PTPRE	Protein tyrosine phosphatases, receptor type	1									
VAMP7	Pseudoautosomal region 2	1									
P2RX7	Purinergic receptors P2X	2									
P2RX4	Purinergic receptors P2X	2									
GLYR1	PWWP domain containing	2									
HDGF	PWWP domain containing	2									
SNX1	PX-BAR domain containing	3									
SNX5	PX-BAR domain containing	3									
SNX6	PX-BAR domain containing	3									
AIM2	Pyrin and HIN domain family	1									
RABL6	RAB like GTPases	1									
RAB18	RAB, member RAS oncogene GTPases	9									
RAB22A	RAB, member RAS oncogene GTPases	9									
RAB5C	RAB, member RAS oncogene GTPases	9									
RAB11B	RAB, member RAS oncogene GTPases	9									
RAB27A	RAB, member RAS oncogene GTPases	9									
RAB2A	RAB, member RAS oncogene GTPases	9									
RAB7A	RAB, member RAS oncogene GTPases	9									
RAB9A	RAB, member RAS oncogene GTPases	9									
RAB19	RAB, member RAS oncogene GTPases	9									
LAMTOR5	Ragulator complex 	3									
LAMTOR4	Ragulator complex 	3									
LAMTOR3	Ragulator complex 	3									
RRAS2	RAS type GTPase family	4									
RALB	RAS type GTPase family	4									
NRAS	RAS type GTPase family	4									
RAP2B	RAS type GTPase family	4									
REEP5	Receptor accessory proteins	2									
REEP4	Receptor accessory proteins	2									
RGS18	Regulators of G-protein signaling	1									
RHOG	Rho family GTPases	2									
RHOA	Rho family GTPases	2									
ARHGAP26	Rho GTPase activating proteins	6									
ARHGAP10	Rho GTPase activating proteins	6									
ARHGAP5	Rho GTPase activating proteins	6									
ARHGAP11A	Rho GTPase activating proteins	6									
ARHGAP6	Rho GTPase activating proteins	6									
GMIP	Rho GTPase activating proteins	6									
PARL	Rhomboid family	2									
RHBDF2	Rhomboid family	2									
ZFP36L2	Ring finger proteins	21									
RNF25	Ring finger proteins	21									
RNF169	Ring finger proteins	21									
DTX3L	Ring finger proteins	21									
SCAF11	Ring finger proteins	21									
TRIM21	Ring finger proteins	21									
TRIM65	Ring finger proteins	21									
RING1	Ring finger proteins	21									
RNF31	Ring finger proteins	21									
RNF219	Ring finger proteins	21									
VPS11	Ring finger proteins	21									
RBCK1	Ring finger proteins	21									
PML	Ring finger proteins	21									
RNF130	Ring finger proteins	21									
RBX1	Ring finger proteins	21									
CBLB	Ring finger proteins	21									
HLTF	Ring finger proteins	21									
TRAF7	Ring finger proteins	21									
CBL	Ring finger proteins	21									
AMFR	Ring finger proteins	21									
TTC3	Ring finger proteins	21									
RIPK1	Ripoptosome	1									
NCBP2	RNA binding motif containing	47									
G3BP1	RNA binding motif containing	47									
EIF4B	RNA binding motif containing	47									
SCAF4	RNA binding motif containing	47									
TARDBP	RNA binding motif containing	47									
PABPC1	RNA binding motif containing	47									
SRSF3	RNA binding motif containing	47									
HNRNPAB	RNA binding motif containing	47									
HNRNPA0	RNA binding motif containing	47									
HNRNPL	RNA binding motif containing	47									
DAZAP1	RNA binding motif containing	47									
RBM12	RNA binding motif containing	47									
SRSF6	RNA binding motif containing	47									
RBM3	RNA binding motif containing	47									
FUS	RNA binding motif containing	47									
MSI2	RNA binding motif containing	47									
HTATSF1	RNA binding motif containing	47									
RBM33	RNA binding motif containing	47									
CPSF7	RNA binding motif containing	47									
RBM14	RNA binding motif containing	47									
SNRPB2	RNA binding motif containing	47									
RAVER1	RNA binding motif containing	47									
ELAVL1	RNA binding motif containing	47									
EIF4H	RNA binding motif containing	47									
CPSF6	RNA binding motif containing	47									
PSPC1	RNA binding motif containing	47									
EWSR1	RNA binding motif containing	47									
CIRBP	RNA binding motif containing	47									
RBM22	RNA binding motif containing	47									
U2AF1	RNA binding motif containing	47									
RBMXL1	RNA binding motif containing	47									
HNRNPF	RNA binding motif containing	47									
HNRNPM	RNA binding motif containing	47									
SCAF8	RNA binding motif containing	47									
SART3	RNA binding motif containing	47									
SF3B4	RNA binding motif containing	47									
ALYREF	RNA binding motif containing	47									
NELFE	RNA binding motif containing	47									
SLTM	RNA binding motif containing	47									
RBM43	RNA binding motif containing	47									
SNRNP70	RNA binding motif containing	47									
RBMX2	RNA binding motif containing	47									
HNRNPLL	RNA binding motif containing	47									
CSTF2	RNA binding motif containing	47									
POLDIP3	RNA binding motif containing	47									
SRSF2	RNA binding motif containing	47									
SYNCRIP	RNA binding motif containing	47									
SNRNP200	RNA helicases	2									
DICER1	RNA helicases	2									
POLR1B	RNA polymerase subunits	10									
POLR2L	RNA polymerase subunits	10									
POLR2B	RNA polymerase subunits	10									
POLR2H	RNA polymerase subunits	10									
POLR1C	RNA polymerase subunits	10									
POLR2J	RNA polymerase subunits	10									
POLR1D	RNA polymerase subunits	10									
POLR1E	RNA polymerase subunits	10									
POLR3B	RNA polymerase subunits	10									
POLR2G	RNA polymerase subunits	10									
RPUSD3	RNA pseudouridylate synthase domain containing	2									
RPUSD4	RNA pseudouridylate synthase domain containing	2									
RPS27	S ribosomal proteins	25									
RPS28	S ribosomal proteins	25									
RPS7	S ribosomal proteins	25									
RPS27A	S ribosomal proteins	25									
RPS14	S ribosomal proteins	25									
RPS18	S ribosomal proteins	25									
RPS19	S ribosomal proteins	25									
RPS16	S ribosomal proteins	25									
RPS10	S ribosomal proteins	25									
RPS24	S ribosomal proteins	25									
RPS17	S ribosomal proteins	25									
RPS26	S ribosomal proteins	25									
RPS11	S ribosomal proteins	25									
RPS20	S ribosomal proteins	25									
RPS2	S ribosomal proteins	25									
RPS3	S ribosomal proteins	25									
RPS4X	S ribosomal proteins	25									
RPS5	S ribosomal proteins	25									
RPS15	S ribosomal proteins	25									
RPS25	S ribosomal proteins	25									
RPS9	S ribosomal proteins	25									
RPS13	S ribosomal proteins	25									
RPS15A	S ribosomal proteins	25									
RPS6	S ribosomal proteins	25									
RPS8	S ribosomal proteins	25									
S100A10	S100 calcium binding proteins	1									
TAF12	SAGA complex	3									
ENY2	SAGA complex	3									
TAF6L	SAGA complex	3									
SAMSN1	SAM and SH3 domain containing	2									
SASH3	SAM and SH3 domain containing	2									
SCARB2	Scavenger receptors	1									
SKP1	SCF complex	1									
SLFN5	Schlafen family	1									
SCYL2	SCY1 like pseudokinases	2									
SCYL1	SCY1 like pseudokinases	2									
SCAMP2	Secretory carrier membrane proteins	3									
SCAMP3	Secretory carrier membrane proteins	3									
SCAMP1	Secretory carrier membrane proteins	3									
GPX1	Selenoproteins	3									
TXNRD1	Selenoproteins	3									
GPX4	Selenoproteins	3									
NCK2	SH2 domain containing	8									
NCK1	SH2 domain containing	8									
CRKL	SH2 domain containing	8									
SUPT6H	SH2 domain containing	8									
LYN	SH2 domain containing	8									
GRB2	SH2 domain containing	8									
CSK	SH2 domain containing	8									
STAT6	SH2 domain containing	8									
DHRS13	Short chain dehydrogenase/reductase superfamily	15									
BLVRB	Short chain dehydrogenase/reductase superfamily	15									
DHRS7B	Short chain dehydrogenase/reductase superfamily	15									
MAT2B	Short chain dehydrogenase/reductase superfamily	15									
RDH11	Short chain dehydrogenase/reductase superfamily	15									
HSD17B10	Short chain dehydrogenase/reductase superfamily	15									
TSTA3	Short chain dehydrogenase/reductase superfamily	15									
NSDHL	Short chain dehydrogenase/reductase superfamily	15									
HSD17B11	Short chain dehydrogenase/reductase superfamily	15									
FASN	Short chain dehydrogenase/reductase superfamily	15									
HSD17B4	Short chain dehydrogenase/reductase superfamily	15									
HSD17B7	Short chain dehydrogenase/reductase superfamily	15									
HSDL1	Short chain dehydrogenase/reductase superfamily	15									
DHRS1	Short chain dehydrogenase/reductase superfamily	15									
KDSR	Short chain dehydrogenase/reductase superfamily	15									
ST3GAL4	Sialyltransferases	1									
SFXN1	Sideroflexins	2									
SFXN2	Sideroflexins	2									
KHDRBS1	Signal transduction and activation of RNA metabolism family	1									
SIRT2	Sirtuins	2									
SIRT7	Sirtuins	2									
SMAD2	SMAD family	1									
NSMCE1	SMC5-6 protein complex	3									
SMC6	SMC5-6 protein complex	3									
SMC5	SMC5-6 protein complex	3									
BET1	SNAREs	5									
SNAP23	SNAREs	5									
GOSR1	SNAREs	5									
VTI1A	SNAREs	5									
VTI1B	SNAREs	5									
SLC2A1	Solute carriers	20									
SLC39A7	Solute carriers	20									
SLC33A1	Solute carriers	20									
SLC16A1	Solute carriers	20									
SLC25A11	Solute carriers	20									
SLC22A3	Solute carriers	20									
SLC25A1	Solute carriers	20									
SLC2A3	Solute carriers	20									
SLC25A5	Solute carriers	20									
SLC38A1	Solute carriers	20									
SLC4A7	Solute carriers	20									
SLC25A10	Solute carriers	20									
SLC25A3	Solute carriers	20									
SLC39A4	Solute carriers	20									
SLC12A4	Solute carriers	20									
SLC43A1	Solute carriers	20									
SLC7A6	Solute carriers	20									
SLC4A2	Solute carriers	20									
SLC38A2	Solute carriers	20									
SLC3A2	Solute carriers	20									
SNX3	Sorting nexins	2									
SNX12	Sorting nexins	2									
SYNE1	Spectrin repeat containing nuclear envelope family	1									
SPIN1	Spindlin family	1									
STMN1	Stathmins	1									
SEC23IP	Sterile alpha motif domain containing	3									
PPFIA1	Sterile alpha motif domain containing	3									
DDHD2	Sterile alpha motif domain containing	3									
SMC2	Structural maintenance of chromosomes proteins	1									
GNS	Sulfatases	1									
MLLT1	Super elongation complex	1									
STX2	Syntaxins	5									
STX16	Syntaxins	5									
STX7	Syntaxins	5									
STX12	Syntaxins	5									
STX4	Syntaxins	5									
TSPAN31	Tetraspanins	1									
RPAP3	Tetratricopeptide repeat domain containing	18									
ST13	Tetratricopeptide repeat domain containing	18									
TTC37	Tetratricopeptide repeat domain containing	18									
STIP1	Tetratricopeptide repeat domain containing	18									
TOMM70	Tetratricopeptide repeat domain containing	18									
NASP	Tetratricopeptide repeat domain containing	18									
TTC7A	Tetratricopeptide repeat domain containing	18									
NCF2	Tetratricopeptide repeat domain containing	18									
SRP72	Tetratricopeptide repeat domain containing	18									
GPSM1	Tetratricopeptide repeat domain containing	18									
SGTA	Tetratricopeptide repeat domain containing	18									
EMC2	Tetratricopeptide repeat domain containing	18									
TTC1	Tetratricopeptide repeat domain containing	18									
KLC4	Tetratricopeptide repeat domain containing	18									
TRAPPC12	Tetratricopeptide repeat domain containing	18									
TTC27	Tetratricopeptide repeat domain containing	18									
TMTC3	Tetratricopeptide repeat domain containing	18									
FIS1	Tetratricopeptide repeat domain containing	18									
THOC2	THO complex	1									
TIMM22	TIM22 complex	3									
TIMM10	TIM22 complex	3									
TIMM9	TIM22 complex	3									
TICAM1	TIR domain containing	2									
MYD88	TIR domain containing	2									
TRAF1	TNF receptor associated factors	1									
TOP2A	Topoisomerases	3									
TOP1	Topoisomerases	3									
TOP3B	Topoisomerases	3									
TRAPPC10	Trafficking protein particle complex	4									
TRAPPC8	Trafficking protein particle complex	4									
TRAPPC3	Trafficking protein particle complex	4									
TRAPPC4	Trafficking protein particle complex	4									
TGM2	Transglutaminases	2									
F13A1	Transglutaminases	2									
TOMM22	Translocase of outer mitochondrial membrane complex	1									
TM9SF4	Transmembrane 9 superfamily members	3									
TM9SF2	Transmembrane 9 superfamily members	3									
TM9SF3	Transmembrane 9 superfamily members	3									
TMED9	Transmembrane p24 trafficking proteins	3									
TMED10	Transmembrane p24 trafficking proteins	3									
TMED7	Transmembrane p24 trafficking proteins	3									
GIGYF2	Trinucleotide repeat containing	2									
TNRC6B	Trinucleotide repeat containing	2									
TMOD3	Tropomodulins	1									
